Date,Open,High,Low,Close,Adj Close,Volume,pct_change,down,candle_change,consecutive_count,buy_signal,holding_position,Sell_Signal_Long,Buy_Price,Sell_Price,buy_return,investment_value
2019-01-01,3746.71337890625,3850.913818359375,3707.231201171875,3843.52001953125,3843.52001953125,4324200990,,0,1,1,False,,False,,,0.0,10000.0
2019-01-02,3849.21630859375,3947.981201171875,3817.409423828125,3943.409423828125,3943.409423828125,5244856836,0.025989042281366226,0,1,2,False,,False,,,0.0,10000.0
2019-01-03,3931.048583984375,3935.68505859375,3826.222900390625,3836.7412109375,3836.7412109375,4530215219,-0.02704974336321264,1,2,-1,False,,False,,,0.0,10000.0
2019-01-04,3832.0400390625,3865.9345703125,3783.853759765625,3857.717529296875,3857.717529296875,4847965467,0.005467222626216461,0,3,1,False,,False,,,0.0,10000.0
2019-01-05,3851.973876953125,3904.903076171875,3836.900146484375,3845.194580078125,3845.194580078125,5137609824,-0.003246206888826486,1,4,-1,False,,False,,,0.0,10000.0
2019-01-06,3836.51904296875,4093.29736328125,3826.51318359375,4076.632568359375,4076.632568359375,5597027440,0.06018888861446059,0,5,1,False,,False,,,0.0,10000.0
2019-01-07,4078.5849609375,4092.613525390625,4020.89404296875,4025.248291015625,4025.248291015625,5228625637,-0.01260458883210791,1,6,-1,False,,False,,,0.0,10000.0
2019-01-08,4028.47216796875,4109.02099609375,3996.955322265625,4030.847900390625,4030.847900390625,5306593305,0.0013911214837352137,0,7,1,False,,False,,,0.0,10000.0
2019-01-09,4031.552001953125,4068.403564453125,4022.662841796875,4035.29638671875,4035.29638671875,5115905225,0.0011036105648376537,0,7,2,False,,False,,,0.0,10000.0
2019-01-10,4034.411376953125,4064.066650390625,3659.174560546875,3678.924560546875,3678.924560546875,6874143796,-0.08831366819666353,1,8,-1,False,,False,,,0.0,10000.0
2019-01-11,3674.015380859375,3713.8818359375,3653.06982421875,3687.365478515625,3687.365478515625,5538712865,0.0022943982214995717,0,9,1,False,,False,,,0.0,10000.0
2019-01-12,3686.97314453125,3698.978271484375,3653.810791015625,3661.301025390625,3661.301025390625,4778170883,-0.007068584135981104,1,10,-1,False,,False,,,0.0,10000.0
2019-01-13,3658.8681640625,3674.760009765625,3544.92724609375,3552.953125,3552.953125,4681302466,-0.029592732102399433,1,10,-2,False,,False,,,0.0,10000.0
2019-01-14,3557.31103515625,3727.836181640625,3552.28515625,3706.05224609375,3706.05224609375,5651384490,0.04309066731460187,0,11,1,False,,False,,,0.0,10000.0
2019-01-15,3704.21630859375,3720.1533203125,3619.94921875,3630.67529296875,3630.67529296875,5537192302,-0.020338880328643172,1,12,-1,False,,False,,,0.0,10000.0
2019-01-16,3631.509765625,3685.777099609375,3624.67333984375,3655.0068359375,3655.0068359375,5394457145,0.006701657682214313,0,13,1,False,,False,,,0.0,10000.0
2019-01-17,3651.87109375,3680.135986328125,3621.9609375,3678.56396484375,3678.56396484375,5464420383,0.006445166852939055,0,13,2,False,,False,,,0.0,10000.0
2019-01-18,3677.990478515625,3682.52001953125,3637.080810546875,3657.83935546875,3657.83935546875,5002961727,-0.005633885824214646,1,14,-1,False,,False,,,0.0,10000.0
2019-01-19,3652.3779296875,3758.533447265625,3652.3779296875,3728.568359375,3728.568359375,5955691380,0.019336279435154813,0,15,1,False,,False,,,0.0,10000.0
2019-01-20,3725.446044921875,3743.387939453125,3583.01953125,3601.013671875,3601.013671875,5582489560,-0.034210097604695955,1,16,-1,False,,False,,,0.0,10000.0
2019-01-21,3600.372802734375,3608.8408203125,3558.537109375,3576.032470703125,3576.032470703125,5004347059,-0.006937269182559769,1,16,-2,False,,False,,,0.0,10000.0
2019-01-22,3575.081298828125,3620.74658203125,3539.721435546875,3604.5771484375,3604.5771484375,5313623556,0.007982219951364833,0,17,1,False,,False,,,0.0,10000.0
2019-01-23,3605.55712890625,3623.06787109375,3565.31396484375,3585.123046875,3585.123046875,5433755649,-0.005397055122244532,1,18,-1,False,,False,,,0.0,10000.0
2019-01-24,3584.500244140625,3616.08740234375,3569.0927734375,3600.865478515625,3600.865478515625,5262869046,0.00439104360848841,0,19,1,False,,False,,,0.0,10000.0
